Nombre,Metodo_deteccion,Radio,Periodo_orbital,Indice_similitud_tierra,Distancia_estrella,Distancia_tierra,Radio_estrella,Ascension_recta,Declinacion
Kepler-927 b,Transit,1.71513,9.1149903,0.27906064,0.026102042638036813,879.0,0.99,19.292235,41.392694999999996
Kepler-928 b,Transit,1.59182,3.9324613,0.28697627,0.01346405490797546,532.0,0.7,19.328049,41.542828
Kepler-929 b,Transit,1.10979,0.92103214,0.29237733,0.005700534662576687,820.0,1.02,19.898743,41.615332
Kepler-93 b,Transit,1.5694,4.72674,0.28071655,0.01739703588957055,96.18,0.98,19.427886,38.672354
Kepler-93 c,Radial Velocity,13.116992,1460.0,0.18639902,0.7949431595092025,96.18,0.98,19.427886,38.672354
Kepler-930 b,Transit,2.1299,71.451778,0.30708964,0.11132789877300614,905.0,1.4,19.887631,42.247434
Kepler-931 b,Transit,1.33399,8.0375588,0.30306203,0.022902042331288345,490.0,0.81,19.808844,42.768253
Kepler-932 b,Transit,1.36762,1.9214374,0.28669748,0.008855556441717793,478.0,0.84,19.796805,43.271969
Kepler-933 b,Transit,2.45499,14.20443,0.26225,0.03360580061349694,922.0,0.84,19.304578,43.538612
Kepler-934 b,Transit,2.08506,55.673831,0.47801408,0.08157449386503068,603.0,0.77,19.352565,43.755322
Kepler-935 b,Transit,1.3452,4.8808385,0.29958449,0.015897168711656442,482.0,0.73,19.668112,46.619217
Kepler-936 b,Transit,1.44609,10.561342,0.29920247,0.028099632822085892,687.0,0.89,19.571852,46.736347
Kepler-937 b,Transit,3.72172,67.668827,0.25523141,0.10442000000000001,1482.0,1.22,19.611255,46.714611000000005
Kepler-937 c,Transit,2.66798,153.34336,0.41900913,0.1801501319018405,1482.0,1.22,19.611255,46.714611000000005
Kepler-938 b,Transit,2.21958,52.629842,0.37023093,0.08198026073619633,861.0,0.89,19.652611,46.98399
Kepler-939 b,Transit,1.74876,14.878296,0.29669385,0.034792714723926386,1029.0,0.85,19.591042,47.026829
Kepler-94 b,Transit,3.50873,2.50806,0.19595748,0.010327904907975461,192.97,0.76,18.746317,47.497148
Kepler-94 c,Radial Velocity,12.449262,820.3,0.16979561,0.4902701840490798,192.97,0.76,18.746317,47.497148
Kepler-940 b,Transit,3.34058,59.622526,0.30273307,0.09067539570552147,1317.0,0.96,19.616087,47.275982
Kepler-941 b,Transit,3.08275,17.423952,0.23753847,0.03880190797546012,1105.0,0.86,19.621758,47.217613
Kepler-942 b,Transit,2.1299,44.964175,0.45432771,0.0707453773006135,218.0,0.75,19.663675,44.149817999999996
Kepler-943 b,Transit,5.93009,49.770144,0.22507495,0.0792681809815951,1239.0,0.91,18.951599,41.535022999999995
Kepler-944 b,Transit,2.63435,43.316774,0.33951184,0.0703983036809816,1035.0,0.83,19.573418,42.379761
Kepler-945 b,Transit,2.63435,31.003381,0.27459032,0.05863477300613497,1543.0,0.97,19.417984,42.096046
Kepler-946 b,Transit,1.92812,11.791626,0.27465508,0.030459097852760738,918.0,0.93,20.061975,44.02879
Kepler-947 b,Transit,2.27563,26.964432,0.2990314,0.05210750920245399,1188.0,0.87,19.624449,42.252678
Kepler-948 b,Transit,1.84965,7.7684662,0.27149537,0.02322411748466258,884.0,0.94,19.55335,41.523338
Kepler-949 b,Transit,2.9146,8.6893073,0.22689695,0.02440124938650307,572.0,0.86,19.907193,46.453682
Kepler-95 b,Transit,3.41905,11.5231,0.20075646,0.03141565337423313,451.38,1.41,18.965498,44.398037
Kepler-950 b,Transit,8.97921,98.718041,0.23815381,0.12904951840490797,1489.0,1.02,19.197105,41.130329
Kepler-951 b,Transit,5.59379,71.525308,0.40817291,0.09478989570552149,408.0,0.73,19.182505,38.114567
Kepler-952 b,Transit,7.64522,130.35469,0.31989255,0.1543037300613497,1167.0,0.99,19.024798,41.993912
Kepler-953 b,Transit,4.21496,88.406553,0.35272407,0.11709081288343558,240.0,0.99,19.264778,44.624531
Kepler-953 c,Transit,1.18826,9.1096711,0.30328557,0.02573563926380368,240.0,0.99,19.264778,44.624531
Kepler-954 b,Transit,2.32047,16.781766,0.29515614,0.036823214723926384,224.0,0.76,19.72396,47.93951
Kepler-955 b,Transit,3.12759,14.532442,0.2340969,0.03438067177914111,637.0,0.84,19.231432,40.269795
Kepler-956 b,Transit,3.00428,5.2486726,0.2122372,0.0187120990797546,631.0,1.15,19.502055,49.061707
Kepler-957 b,Transit,5.50411,5.9074135,0.15319823,0.018283185889570553,749.0,0.75,19.343757,48.818996000000006
Kepler-958 b,Transit,2.06264,9.7678805,0.26881331,0.02657700153374233,467.0,0.86,19.150447,46.066769
Kepler-959 b,Transit,4.38311,14.800748,0.16745113,0.042317604294478534,1003.0,2.01,19.478079,40.811381999999995
Kepler-96 b,Transit,2.66798,16.2385,0.24357097,0.038487754601227,123.32,1.02,19.804644,40.525141
Kepler-960 b,Transit,2.28684,3.1268622,0.2487303,0.011763268711656442,298.0,0.72,18.763812,46.746468
Kepler-961 b,Transit,2.54467,16.877274,0.2575766,0.038956855828220865,607.0,0.9,18.802367,43.631268
Kepler-962 b,Transit,1.97296,12.057072,0.2782891,0.030804503067484664,439.0,0.86,19.687544,46.237488
Kepler-963 b,Transit,2.65677,9.9768371,0.23995101,0.026954690184049085,786.0,0.87,19.783533,45.0411
Kepler-964 b,Transit,2.11869,13.522511,0.27663533,0.033252515337423315,478.0,0.84,19.686674,40.556591
Kepler-965 b,Transit,3.38542,134.25273,0.38479598,0.15994493865030673,618.0,1.15,19.901024,41.891205
Kepler-966 b,Transit,4.12528,99.747622,0.33499144,0.12994524846625768,773.0,1.02,19.81804,50.121811
