,P_NAME,P_STATUS,P_DETECTION,P_MASS,P_RADIUS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_ESI,P_DISTANCE,S_DISTANCE,S_MASS,S_RADIUS_EST,S_TYPE,S_CONSTELLATION,S_RA_H,S_DEC_T,P_HABZONE_CON
1200,K2-33 b,3.0,Transit,1175.9636,5.0445,5.424865,0.0,62.567758,0.16759765,0.049792605,42.883435582822095,0.56,1.05,M3.3,Scorpius,16.170761,-18.680727,0
1201,K2-34 b,3.0,Transit,,13.95645,2.995633,,1390.7061,0.065236353,0.0426,108.079754601227,1.15,1.44,F9 V,Cancer,8.505252,22.235909,0
1202,K2-35 b,3.0,Transit,,1.92812,5.608352,0.12,43.090012,0.28873254,0.055396,78.04601226993866,0.7,0.62,K4 V,Leo,11.340206,1.2859559999999999,0
1203,K2-35 c,3.0,Transit,,1.32278,2.399964,0.13,135.80949,0.29633581,0.03126195,78.04601226993866,0.7,0.62,K4 V,Leo,11.340206,1.2859559999999999,0
1204,K2-36 b,3.0,Transit,3.8997496,1.43488,1.422614,0.0,545.4958,0.28425092,0.0223,33.76993865030675,0.79,0.72,K2 V,Leo,11.296605,3.866393,0
1205,K2-36 c,3.0,Transit,7.7994992,3.19485,5.340888,0.0,93.027985,0.21524648,0.054,33.76993865030675,0.79,0.72,K2 V,Leo,11.296605,3.866393,0
1206,K2-37 b,3.0,Transit,,1.61424,4.44117,,212.83194,0.28007395,0.0511,55.47852760736197,0.9,0.85,G3 V,Scorpius,16.230068,-23.212937999999998,0
1207,K2-37 c,3.0,Transit,,2.74645,6.42904,,129.93409,0.22961376,0.0654,55.47852760736197,0.9,0.85,G3 V,Scorpius,16.230068,-23.212937999999998,0
1208,K2-37 d,3.0,Transit,,2.73524,14.09189,,45.680156,0.24768313,0.1103,55.47852760736197,0.9,0.85,G3 V,Scorpius,16.230068,-23.212937999999998,0
1209,K2-38 b,3.0,Transit,19.06968,1.9057,4.01593,,447.98737,0.26234618,0.064681932,59.42024539877301,2.24,1.38,G2 V,Scorpius,16.00224,-22.810713,0
1210,K2-38 c,3.0,Transit,9.9003423,2.42136,10.56103,,201.68689,0.24074034,0.0964,59.42024539877301,2.24,1.38,G2 V,Scorpius,16.00224,-22.810713,0
1211,K2-39 b,3.0,Transit,28.60452,6.2776,4.60543,0.0,2017.2581,0.12709936,0.047156075,95.13496932515338,0.66,2.97,,Aquarius,22.557893,-8.977231,0
1212,K2-4 b,3.0,Transit,,2.09627,10.003417,0.08,12.470065,0.3479071,0.0782496,71.58588957055215,0.64,0.57,,Virgo,11.64971,-2.094415,0
1213,K2-42 b,3.0,Transit,,2.15232,6.68796,,43.652798,0.27679519,0.0617,123.11656441717793,0.7,0.64,,Virgo,11.777716,-4.828087,0
1214,K2-43 b,3.0,Transit,,4.50642,3.471149,,41.093437,0.18983667,0.03719204,56.282208588957054,0.57,0.54,,Leo,11.274477,-2.0245599999999997,0
1215,K2-43 c,3.0,Transit,,2.42136,2.198884,,75.532477,0.25133268,0.027432752,56.282208588957054,0.57,0.54,,Leo,11.274477,-2.0245599999999997,0
1216,K2-44 b,3.0,Transit,,2.72403,5.65688,,644.73099,0.2227821,0.0651,148.21779141104295,1.15,1.58,,Leo,11.600776,-1.479119,0
